name,product_url,image_url,size,ean,sku,rrp
Sterling Dual Leaf Wrapped PM7.15,https://www.deebee.co.uk/product/id/890501/barcode/5000143934816/sterling-dual-leaf-wrapped-pm715,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,20 x 10S,5000143934816,890501,£7.15
Sterling Dual Leaf Wrapped PM14.20,https://www.deebee.co.uk/product/id/884718/barcode/5000143961027/sterling-dual-leaf-wrapped-pm1420,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,10 x 20S,5000143961027,884718,£14.20
Hamlet Miniatures Tin 10s,https://www.deebee.co.uk/product/id/407070/barcode/5000143949025/hamlet-miniatures-tin-10s,https://www.dbstatic.co.uk/assets/products/small/500014/5000143949025_T106.jpg,10 x 10S,5000143949025,407070,£8.40
Castella Classic Fine Cigars 5,https://www.deebee.co.uk/product/id/687441/barcode/5000435011409/castella-classic-fine-cigars-5,https://www.dbstatic.co.uk/assets/products/small/500043/5000435011409_T106.jpg,10 x 5PK,5000435011409,687441,£8.90
Sterling Leaf Wrapped Dual Double Capsule 10S,https://www.deebee.co.uk/product/id/835560/barcode/5000143943535/sterling-leaf-wrapped-dual-double-capsule-10s,https://www.dbstatic.co.uk/assets/products/small/500014/5000143943535.jpg,20 x 10S,5000143943535,835560,£7.25
Hamlet Fine 5,https://www.deebee.co.uk/product/id/290541/barcode/5000143941722/hamlet-fine-5,https://www.dbstatic.co.uk/assets/products/small/500014/5000143941722_T106.jpg,10 x 5S,5000143941722,290541,£8.40
Hamlet 10 Fine Cigars,https://www.deebee.co.uk/product/id/265375/barcode/5000143944020/hamlet-10-fine-cigars,https://www.dbstatic.co.uk/assets/products/small/500014/5000143944020_T106.jpg,10 x 10S,5000143944020,265375,£16.30
Signature Blue 50 Cigars,https://www.deebee.co.uk/product/id/246298/barcode/8720400442072/signature-blue-50-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400442072.jpg,10 x 10S,8720400442072,246298,£8.33
Sterling Dual Double Capsule PM7.25,https://www.deebee.co.uk/product/id/884724/barcode/5000143994827/sterling-dual-double-capsule-pm725,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,20 x 10S,5000143994827,884724,£7.25
Signature Original 10 Cigars,https://www.deebee.co.uk/product/id/307453/barcode/8720400433209/signature-original-10-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400433209.jpg,5 x 10S,8720400433209,307453,£8.33
Henri Wintermans 5 Half Corona Cigars,https://www.deebee.co.uk/product/id/260283/barcode/8720400010820/henri-wintermans-5-half-corona-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400010820.jpg,5 x 5S,8720400010820,260283,£16.31
Castella Classic Fine Cigars 10,https://www.deebee.co.uk/product/id/698130/barcode/5000435011430/castella-classic-fine-cigars-10,https://www.dbstatic.co.uk/assets/products/small/500043/5000435011430_T106.jpg,5 x 10PK,5000435011430,698130,£17.60
Royal Dutch Double Filter 10 Cigarillos,https://www.deebee.co.uk/product/id/697893/barcode/8710568058437/royal-dutch-double-filter-10-cigarillos,https://www.dbstatic.co.uk/assets/products/small/871056/8710568058437.jpg,10 x 10S,8710568058437,697893,£5.99
Sterling Dual Double Capsule Leaf Wrapped,https://www.deebee.co.uk/product/id/881230/barcode/5000143969535/sterling-dual-double-capsule-leaf-wrapped,https://www.dbstatic.co.uk/assets/products/small/500014/5000143969535.jpg,10 x 20S,5000143969535,881230,£14.40
Panama Thin Panatellas 6,https://www.deebee.co.uk/product/id/687464/barcode/5000435011553/panama-thin-panatellas-6,https://www.dbstatic.co.uk/assets/products/small/500043/5000435011553_T106.jpg,10 x 6PK,5000435011553,687464,£8.80
TEREA Yellow Tobacco Sticks x20,https://www.deebee.co.uk/product/id/875452/barcode/5060592007844/terea-yellow-tobacco-sticks-x20,https://www.dbstatic.co.uk/assets/products/small/506059/5060592007844.jpg,10 x 20PK,5060592007844,875452,£7.00
Signature Blue 50 Cigars,https://www.deebee.co.uk/product/id/307460/barcode/8720400442072/signature-blue-50-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400442072.jpg,5 x 10S,8720400442072,307460,£8.33
TEREA Blue Tobacco Sticks x20,https://www.deebee.co.uk/product/id/874455/barcode/5060592007912/terea-blue-tobacco-sticks-x20,https://www.dbstatic.co.uk/assets/products/small/506059/5060592007912.jpg,10 x 20PK,5060592007912,874455,£7.00
Players JPS Cigarillo 10s,https://www.deebee.co.uk/product/id/797705/barcode/5000435016367/players-jps-cigarillo-10s,https://www.dbstatic.co.uk/assets/products/small/500043/5000435016367_T0.jpg,20 x 10S,5000435016367,797705,£6.45
Royal Dutch Miniature Blue 10 Cigarillos,https://www.deebee.co.uk/product/id/873412/barcode/8710568058284/royal-dutch-miniature-blue-10-cigarillos,https://www.dbstatic.co.uk/assets/products/small/871056/8710568058284.jpg,10 x 10S,8710568058284,873412,£7.15
TEREA Twilight Pearl Tobacco Sticks x20,https://www.deebee.co.uk/product/id/874800/barcode/5060592009855/terea-twilight-pearl-tobacco-sticks-x20,https://www.dbstatic.co.uk/assets/products/small/506059/5060592009855.jpg,10 x 20PK,5060592009855,874800,£7.00
Dual Double Capsule Cigarillo Berrymenthol,https://www.deebee.co.uk/product/id/881246/barcode/5000143908930/dual-double-capsule-cigarillo-berrymenthol,https://www.dbstatic.co.uk/assets/products/small/500014/5000143908930_T0.jpg,10 x 20S,5000143908930,881246,£13.15
TEREA Amelia Pearl Tobacco Sticks x20,https://www.deebee.co.uk/product/id/874796/barcode/5060592009824/terea-amelia-pearl-tobacco-sticks-x20,https://www.dbstatic.co.uk/assets/products/small/506059/5060592009824.jpg,10 x 20PK,5060592009824,874796,£7.00
Signature Original Cigars,https://www.deebee.co.uk/product/id/260248/barcode/8720400075249/signature-original-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400075249.jpg,10 x 10S,8720400075249,260248,£8.33
Signature Finos Blue 10 Cigars,https://www.deebee.co.uk/product/id/347510/barcode/8720400434381/signature-finos-blue-10-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400434381.jpg,10 x 10S,8720400434381,347510,£8.07
Moments 10 Miniature Cigars,https://www.deebee.co.uk/product/id/404685/barcode/8720400438860/moments-10-miniature-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400438860.jpg,10 x 10S,8720400438860,404685,£6.89
Castella Panatellas 5,https://www.deebee.co.uk/product/id/260123/barcode/5000435011607/castella-panatellas-5,https://www.dbstatic.co.uk/assets/products/small/500043/5000435011607_T106.jpg,5 x 5S,5000435011607,260123,£14.85
Royal Dutch Miniature 10 Cigarillos,https://www.deebee.co.uk/product/id/873283/barcode/8710568058222/royal-dutch-miniature-10-cigarillos,https://www.dbstatic.co.uk/assets/products/small/871056/8710568058222.jpg,10 x 10S,8710568058222,873283,£7.15
Henri Wintermans Corona Sumatra,https://www.deebee.co.uk/product/id/692171/barcode/8720400433902/henri-wintermans-corona-sumatra,https://www.dbstatic.co.uk/assets/products/small/872040/8720400433902.jpg,10 x SGL,8720400433902,692171,£8.53
Players Compact,https://www.deebee.co.uk/product/id/873202/barcode/5000431000124/players-compact,https://www.dbstatic.co.uk/assets/products/small/500043/5000431000124_T106.jpg,10 x 20S,5000431000124,873202,£13.85
Henri Wintermans 5 Slims,https://www.deebee.co.uk/product/id/260304/barcode/8720400046133/henri-wintermans-5-slims,https://www.dbstatic.co.uk/assets/products/small/872040/8720400046133.jpg,5 x 5S,8720400046133,260304,£8.67
Signature Red Filter 10 Cigars,https://www.deebee.co.uk/product/id/802944/barcode/8720400458806/signature-red-filter-10-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400458806.jpg,10 x 10S,8720400458806,802944,£7.69
Heets Amber Selection,https://www.deebee.co.uk/product/id/719005/barcode/5060592005390/heets-amber-selection,https://www.dbstatic.co.uk/assets/products/small/506059/5060592005390.jpg,10 x 20PK,5060592005390,719005,£7.00
Moments Original 10 Cigars,https://www.deebee.co.uk/product/id/444164/barcode/8720400435425/moments-original-10-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400435425.jpg,10 x 10S,8720400435425,444164,£6.89
Heets Blue Selection,https://www.deebee.co.uk/product/id/746103/barcode/5060592005406/heets-blue-selection,https://www.dbstatic.co.uk/assets/products/small/506059/5060592005406.jpg,10 x 20PK,5060592005406,746103,£7.00
Heets Mauve Wave x20,https://www.deebee.co.uk/product/id/817155/barcode/5060592008841/heets-mauve-wave-x20,https://www.dbstatic.co.uk/assets/products/small/506059/5060592008841.jpg,10 x 20PK,5060592008841,817155,£7.00
King Edward Coronets 5,https://www.deebee.co.uk/product/id/687470/barcode/5000435011508/king-edward-coronets-5,https://www.dbstatic.co.uk/assets/products/small/500043/5000435011508_T106.jpg,10 x 5PK,5000435011508,687470,£8.60
Heets Turquoise Selection,https://www.deebee.co.uk/product/id/719011/barcode/5060592005376/heets-turquoise-selection,https://www.dbstatic.co.uk/assets/products/small/506059/5060592005376.jpg,10 x 20PK,5060592005376,719011,£7.00
Signature Red Filter 10 Cigars,https://www.deebee.co.uk/product/id/803465/barcode/8720400458806/signature-red-filter-10-cigars,https://www.dbstatic.co.uk/assets/products/small/872040/8720400458806.jpg,5 x 10S,8720400458806,803465,£7.69
Heets Capsule Sienna,https://www.deebee.co.uk/product/id/816720/barcode/5060592005895/heets-capsule-sienna,https://www.dbstatic.co.uk/assets/products/small/506059/5060592005895_T0.jpg,10 x 20PK,5060592005895,816720,£7.00
Heets Green Selection,https://www.deebee.co.uk/product/id/767850/barcode/5060592005420/heets-green-selection,https://www.dbstatic.co.uk/assets/products/small/506059/5060592005420.jpg,10 x 20PK,5060592005420,767850,£7.00
Heets Russet,https://www.deebee.co.uk/product/id/816736/barcode/5060592004966/heets-russet,https://www.dbstatic.co.uk/assets/products/small/506059/5060592004966_T0.jpg,10 x 20PK,5060592004966,816736,£7.00
